url_length,dot_count,hyphen_count,has_at,uses_https,digit_count,special_char_count,keyword_count,has_ip,is_shortened,domain_length,domain_dot_count,subdomain_count,path_length,query_length,query_parameter_count,suspicious_tld,domain_letter_count,digit_ratio,vowel_count,consonant_count,unique_char_count,domain_entropy,label
73,5,1,0,1,5,9,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
73,5,1,0,1,4,9,0,0,0,15,2,1,50,0,0,0,13,0.26666666666666666,5,8,9,2.9735572622751856,1
73,5,1,0,1,5,7,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
73,5,1,0,1,2,8,0,0,0,15,2,1,50,0,0,0,13,0.13333333333333333,5,8,9,2.9735572622751856,1
73,5,1,0,1,5,8,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
73,5,2,0,1,3,7,0,0,0,15,2,1,50,0,0,0,13,0.2,5,8,9,2.9735572622751856,1
73,5,1,0,1,6,8,0,0,0,15,2,1,50,0,0,0,13,0.4,5,8,9,2.9735572622751856,1
73,5,1,0,1,7,7,0,0,0,15,2,1,50,0,0,0,13,0.4666666666666667,5,8,9,2.9735572622751856,1
73,5,1,0,1,5,8,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
41,2,1,0,0,3,3,0,0,0,34,2,1,0,0,0,0,28,0.08823529411764706,12,16,18,3.881005488054637,1
73,5,2,0,1,5,7,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
73,5,2,0,1,5,8,0,0,0,15,2,1,50,0,0,0,13,0.3333333333333333,5,8,9,2.9735572622751856,1
26,1,0,0,1,0,4,0,0,0,8,1,0,10,0,0,0,7,0.0,4,3,7,2.75,1
73,9,0,0,1,1,7,0,0,0,28,2,1,37,0,0,0,26,0.03571428571428571,9,17,15,3.7264741182543757,1
23,2,0,0,0,0,4,0,0,0,15,2,1,1,0,0,1,13,0.0,2,11,11,3.323231428797621,1
23,2,0,0,0,0,4,0,0,0,15,2,1,1,0,0,1,13,0.0,2,11,11,3.3735572622751855,1
23,2,0,0,0,0,4,0,0,0,15,2,1,1,0,0,1,13,0.0,2,11,10,3.189898095464287,1
23,2,0,0,0,0,4,0,0,0,15,2,1,1,0,0,1,13,0.0,1,12,11,3.3735572622751855,1
24,2,0,0,0,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,5,9,13,3.625,1
73,7,0,0,1,2,8,0,0,0,21,2,1,44,0,0,0,17,0.09523809523809523,7,10,14,3.653756708287002,1
24,2,0,0,0,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,5,9,13,3.625,1
24,2,0,0,0,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,3,11,13,3.625,1
24,2,0,0,0,0,4,0,0,0,16,2,1,1,0,0,1,14,0.0,6,8,13,3.625,1
29,2,0,0,0,0,3,0,0,0,22,2,1,0,0,0,0,20,0.0,4,16,14,3.6635327548042547,1
29,2,0,0,0,0,3,0,0,0,22,2,1,0,0,0,0,20,0.0,3,17,18,4.004886164091841,1
29,2,0,0,0,0,3,0,0,0,22,2,1,0,0,0,0,20,0.0,3,17,15,3.788754913993503,1
29,2,0,0,0,0,3,0,0,0,22,2,1,0,0,0,0,20,0.0,3,17,16,3.845350936622435,1
29,2,0,0,0,0,3,0,0,0,22,2,1,0,0,0,0,20,0.0,3,17,17,3.9705730958116843,1
50,5,1,0,1,0,7,0,0,0,19,1,0,23,0,0,0,17,0.0,7,10,11,3.2608281712244547,1
40,1,1,0,1,0,7,0,0,0,19,1,0,13,0,0,0,17,0.0,7,10,11,3.2608281712244547,1
34,2,0,0,1,3,4,0,0,0,25,2,1,1,0,0,0,20,0.12,9,11,15,3.7834651896016465,1
34,2,0,0,1,0,4,0,0,1,25,2,1,1,0,0,0,23,0.0,8,15,16,3.8438561897747237,1
32,2,0,0,1,0,4,0,0,0,23,2,1,1,0,0,0,21,0.0,4,17,14,3.6424896731661267,1
73,4,0,0,1,7,5,0,0,0,7,1,0,58,0,0,0,6,1.0,3,3,6,2.5216406363433186,1
43,2,0,0,1,0,5,0,0,0,16,2,1,19,0,0,0,14,0.0,6,8,10,3.202819531114783,1
73,6,3,0,1,5,8,0,0,0,30,2,1,9,25,1,0,24,0.16666666666666666,11,13,20,4.094739663055176,1
40,1,0,0,1,2,7,0,0,0,12,1,0,20,0,0,0,11,0.16666666666666666,5,6,10,3.2516291673878226,1
34,2,0,0,1,1,4,0,0,0,25,2,1,1,0,0,0,22,0.04,8,14,15,3.783465189601646,1
59,5,0,0,1,0,7,0,0,0,16,1,0,35,0,0,0,15,0.0,4,11,10,3.25,1
30,2,1,0,1,0,4,0,0,0,21,2,1,1,0,0,0,18,0.0,7,11,14,3.6537567082870006,1
40,2,2,0,1,2,4,0,0,0,31,2,1,1,0,0,0,25,0.06451612903225806,12,13,18,4.0022680844408445,1
39,2,0,0,1,6,6,0,0,0,14,2,1,17,0,0,0,6,0.42857142857142855,1,5,11,3.378783493486176,1
